Canal, Programa, Año de estreno
Cartoon Netwrok, Dragon Ball Z      ,2001
Cartoon Network, Coraje: el perro cobarde,2000
Cartoon Network, Las sombrias aventuras de Billy y Mandy,2005
Cartoon Network, KND: Los chicos del barrio,2004
Cartoon Network,Las Chicas superpoderosas,1999
Cartoon Network, El Laboratorio de Dexter,1996
Cartoon Network, Ed Edd y Eddy,1999
Cartoon Network, Ben 10: Alien Force,2010
Cartoon Network, Samurai Jack,2001
Cartoon Network, Hora De Aventura   ,2013
Cartoon Network, Los sábados secretos,2008
Cartoon Network, Generador Rex,2010
Cartoon Network, Titán Sinbionico,2013
Cartoon Network, Un Show Mas        ,2013
Disney, Phineas y Ferb     ,2008
Disney, Lilo y Stich       ,2006
Disney, Art Attack,2006
Disney,Hanna Montana,2006
Disney,Gravity Falls,2012
Disney XD,Kid vs Cat,2009
Nickelodeon, Power Rangers: Samurai ,2015
Nickelodeon, Bob Esponja            ,1999
Nickelodeon, Supah ninja,2009
Nickelodeon, Las tortugas ninja,2015
