categoría,nombre,descripción,características
juegos,Free Fire,Juego móvil de disparos muy personalizable que se puede jugar en equipo siendo mas una red social,RPG Shooter Battle Royal Multijugador Divertido Muy dinamico
creepypasta,https://creepypasta.fandom.com,Una wiki llena de historias de memes de terror llamados Creepypastas,Terror Memes Leyendas Urbanas Wiki
memes,Referencia a los Simpsons,Un clásico de la serie animada de la familia amarilla,Divertido Nunca pasa de moda Adpatable
series,The Billion Dollar Code,Un grupo de programadores hacen un software geográfíco y un empleado de Google plagia el código terminando en la justicia años después,Programación Documental Legal
películas,Love Actually(2003),Una comedia navideña con Hugh Grant y gran elenco,Muy divertida y con varias referencias 
software,Libreoffice Calc,Manejar hojas de calculo de manera sencilla,Soporte formato de excel y de archivos CSV además no es muy técnico
televisión,Medico de familia,Un programa deconstracturado y entendible sobre salud 15:30hs por El Nueve,Varios bloque tematicos y muy divertido que se transmite por El Nueve
web,https://nic.ar,Servicios relacionados con dominios argentinos de internet,Informativo Internet Argentina
web,https://www.granguiaargentina.com.ar,Versión digital de la antigüa guia telefonica para encontrar trabajadores y especialistas de distintos rubros,Informativo Buscar profesionales Argentina
música,Miranda,Duo pop argentino con voz dulce melodica y divertida,Argentina musica duos
música,La Beriso,Banda de rock argentino con muy buenas letras llenas de emoción y muy acentuadas,Argentina musica bandas
música,Tini Stoessel,Cantante pop femenina argentina estilo disney pero divertida,Argentina musica cantantes femeninas
música,Yas Gagliardi,Cantante pop femenina argentina estilo disney pero divertida,Argentina musica cantantes femeninas
música,La Oreja De Van Gogh,Banda española de pop con música muy melodica radial y sentimental,España musica bandas
series,Casi Feliz,Sebastian Wainrach hace de locutor de radio que intenta tener una buena vida pese a que se está divorciando,Argentina series Netflix
series,Melody: La Chica del metro,Una chica que intenta cumplir su sueño de cantar pero sus tios no la dejan haciendolo de a poco,Argentina series TV
juegos,Redeclipse,Shooter 3D de ciencia ficción en primera persona donde manejas un robot por el mapa que elijas ¡ está  disponible para Linux !,Shooter Linux Futurista
juegos,Geometry Dash,Un plataformas 2D donde manejas un cubo amarillo recorriendo un colorido escenario futurista,Plataformas Android Futurista
juegos,0ad,Alternativa al juego de estrategia historico Age of Empires para Linux,Estrategia Linux Historia
software,Gimp,Software gratuito para edición de imágenes y fotos al estilo photoshop pero mas artistico,Arte Linux fotos
software,Inkscape,Software gratuito para edición de gráficos vectoriales svg de forma sencilla y eficiente para diseñar tus logos,Arte Linux SVG
software,Blender,Software gratuito para dibujar objetos en 3D para que puedas hacer buenos modelos 3D en Linux,Arte Linux 3D
música,Taylor Swift,Cantante pop femenina divertida y con buenas letras,Pop Internacional
música,Sunny: Sol Camila Lugo,Cantante actriz influencer artista y autista usa las redes sociales para informar sobre el autismo,Argentina Indie
juegos,Minecraft,Estimula la creatividad libertad y exploración,Divertido didáctico
juegos,Sims,Simula personajes toma decisiones,Divertido didáctico
juegos,2048,Un fabuloso puzzle numerico entretenido para practicar suma y producto,Divertido educativo
música,Lady Gaga,Cantante de pop femenina con buenos videoclips una voz potente divertida y con buenas letras,Pop Internacional
software,Geogebra 6 Suite,Realiza calculos algebraicos complejos como producto de matrices vectores y visualizacion de funciones,Matemática
software,Stellarium,Mapa interactivo del universo observable,Astronomía
sofware,replit.com,Increible ide online para aprender a programar en varios lenguajes
